Name,City,Country,Airport IATA,Latitude,Longitude
Goroka Airport,Goroka,Papua New Guinea,GKA,-6.0816898345900015,145.391998291
Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380355834961,147.22000122070312
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.5838301181800003,143.66900634799998
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.678100585900005
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647
Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.70320129390001
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210939,-18.07270050048828
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.28330230712889,-14.401399612426758
Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.13529968261719
Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357055998
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430114746094,-20.27890014648437
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625
St. Anthony Airport,St. Anthony,Canada,YAY,51.391899108900006,-56.083099365200006
Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.77558300000001
Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672
CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125
Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936
Campbell River Airport,Campbell River,Canada,YBL,49.95080184936523,-125.27100372314452
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.13800048799999
Nanaimo Airport,Nanaimo,Canada,YCD,49.054970224899996,-123.869862556
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.296398162799996,-117.63200378399999
Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
Charlo Airport,Charlo,Canada,YCL,47.990798999999996,-66.330299
Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997
Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695
Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.93900299100001
Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446
Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882
Dawson City Airport,Dawson,Canada,YDA,64.04309844970703,-139.12800598144528
Burwash Airport,Burwash,Canada,YDB,61.37110137939453,-139.04100036621094
Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492
Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681
Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956054688,-100.052001953125
Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.7422981262207,-120.18299865722656
Edmonton International Airport,Edmonton,Canada,YEG,53.309700012200004,-113.580001831
Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.0708007812
Estevan Airport,Estevan,Canada,YEN,49.210300445600005,-102.96600341799999
Edson Airport,Edson,Canada,YET,53.5788993835,-116.46499633799999
Eureka Airport,Eureka,Canada,YEU,79.9946975708,-85.814201355
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419921880001,-133.483001709
Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801
Fredericton Airport,Fredericton,Canada,YFC,45.86890029907226,-66.53720092773439
Forestville Airport,Forestville,Canada,YFE,48.74610137939453,-69.09719848632811
Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.68199920654295
Fort Resolution Airport,Fort Resolution,Canada,YFR,61.1808013916,-113.690002441
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.76020050048828,-121.23699951171876
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529983520508,-76.5969009399414
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.62530136108398,-77.7042007446289
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.775299072299994,-64.4785995483
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830123901367,-86.93939971923828
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169067383,-61.778099060058594
Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.31099700899999
Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212402344,-117.80599975585938
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.173599243199995,-79.93499755859999
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.5175018311,-73.4169006348
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.880798339799995,-63.508598327600005
Atikokan Municipal Airport,Atikokan,Canada,YIB,48.7738990784,-91.6386032104
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929
St Jean Airport,St. Jean,Canada,YJN,45.29439926147461,-73.28109741210938
Stephenville Airport,Stephenville,Canada,YJT,48.5442008972168,-58.54999923706055
Kamloops Airport,Kamloops,Canada,YKA,50.702201843299996,-120.444000244
Waterloo Airport,Waterloo,Canada,YKF,43.4608001709,-80.3786010742
Schefferville Airport,Schefferville,Canada,YKL,54.80530166625977,-66.8052978515625
Kindersley Airport,Kindersley,Canada,YKY,51.5175018311,-109.180999756
Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169067383,-79.37000274658203
Chapleau Airport,Chapleau,Canada,YLD,47.81999969482422,-83.3467025756836
Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.12530136108398,-108.52300262451172
Lloydminster Airport,Lloydminster,Canada,YLL,53.30920028686523,-110.072998046875
Alert Airport,Alert,Canada,YLT,82.51779937740001,-62.280601501499994
Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352
Mayo Airport,Mayo,Canada,YMA,63.61640167236328,-135.86799621582028
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.330299377441406,-105.55899810791016
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301238999994,-111.22200012200001
Moosonee Airport,Moosonee,Canada,YMO,51.291099548339844,-80.60780334472656
Maniwaki Airport,Maniwaki,Canada,YMW,46.272800445600005,-75.9906005859
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696
Natashquan Airport,Natashquan,Canada,YNA,50.18999862670898,-61.78919982910156
Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.5217018127,-75.5635986328
Matagami Airport,Matagami,Canada,YNM,49.76169967651367,-77.80280303955078
Old Crow Airport,Old Crow,Canada,YOC,67.57060241699219,-139.83900451660156
CFB Cold Lake,Cold Lake,Canada,YOD,54.40499877929688,-110.27899932861328
High Level Airport,High Level,Canada,YOJ,58.62139892578125,-117.16500091552734
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.3224983215332,-75.66919708251953
Prince Albert Glass Field,Prince Albert,Canada,YPA,53.214199066199996,-105.672996521
Peace River Airport,Peace River,Canada,YPE,56.226898,-117.446999
Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.27381700000001
Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4463996887207,-90.21420288085938
Port Menier Airport,Port Menier,Canada,YPN,49.83639907836914,-64.28859710693361
Peterborough Airport,Peterborough,Canada,YPQ,44.22999954223633,-78.36329650878906
Prince Rupert Airport,Prince Pupert,Canada,YPR,54.2860984802,-130.445007324
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.7672004699707,-111.11699676513672
Muskoka Airport,Muskoka,Canada,YQA,44.974700927734375,-79.30329895019531
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220138549805,-113.8939971923828
Windsor Airport,Windsor,Canada,YQG,42.27560043334961,-82.95559692382812
Watson Lake Airport,Watson Lake,Canada,YQH,60.11640167236328,-128.82200622558594
Kenora Airport,Kenora,Canada,YQK,49.78829956054688,-94.36309814453124
Lethbridge County Airport,Lethbridge,Canada,YQL,49.6302986145,-112.80000305200001
Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169067383,-64.67859649658203
Comox Airport,Comox,Canada,YQQ,49.71080017089844,-124.88700103759766
Regina International Airport,Regina,Canada,YQR,50.43190002441406,-104.66600036621094
Thunder Bay Airport,Thunder Bay,Canada,YQT,48.37189865112305,-89.32389831542969
Grande Prairie Airport,Grande Prairie,Canada,YQU,55.1796989441,-118.885002136
Yorkton Municipal Airport,Yorkton,Canada,YQV,51.26470184326172,-102.46199798583984
North Battleford Airport,North Battleford,Canada,YQW,52.76919937133789,-108.24400329589844
Gander International Airport,Gander,Canada,YQX,48.9369010925293,-54.56809997558594
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1614,-60.047798
Quesnel Airport,Quesnel,Canada,YQZ,53.026100158691406,-122.51000213623048
Resolute Bay Airport,Resolute,Canada,YRB,74.71690368649999,-94.9693984985
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.76440048217773,-69.58470153808594
Roberval Airport,Roberval,Canada,YRJ,48.52000045776367,-72.2656021118164
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.4296989441,-114.903999329
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.811401367200006,-92.1157989502
Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.79889678955078
Sherbrooke Airport,Sherbrooke,Canada,YSC,45.4385986328125,-71.69139862060547
Saint John Airport,St. John,Canada,YSJ,45.31610107421875,-65.89029693603516
Fort Smith Airport,Fort Smith,Canada,YSM,60.020301818847656,-111.96199798583984
Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602
Summerside Airport,Summerside,Canada,YSU,46.44060134887695,-63.83359909057617
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.9938964844,-125.24299621600001
Cape Dorset Airport,Cape Dorset,Canada,YTE,64.2300033569,-76.5267028809
Thompson Airport,Thompson,Canada,YTH,55.80110168457031,-97.86419677734376
CFB Trenton,Trenton,Canada,YTR,44.118900299072266,-77.5280990600586
Timmins/Victor M. Power,Timmins,Canada,YTS,48.569698333699996,-81.376701355
