Airline IATA,Source airport IATA,Destination airport IATA,Distance
2B,AER,KZN,1506.825604458928
2B,ASF,KZN,1040.4383197669074
2B,ASF,MRV,448.1649087095456
2B,CEK,KZN,770.5085001497806
2B,CEK,OVB,1338.631466586207
2B,DME,KZN,715.649350484049
2B,DME,NBC,892.3827877543464
2B,DME,TGK,915.2891395770904
2B,DME,UUA,951.4321982829724
2B,EGO,KGD,1171.881495283767
2B,EGO,KZN,1008.2531100895809
2B,GYD,NBC,1685.426524371984
2B,KGD,EGO,1171.881495283767
2B,KZN,AER,1506.825604458928
2B,KZN,ASF,1040.4383197669074
2B,KZN,CEK,770.5085001497806
2B,KZN,DME,715.649350484049
2B,KZN,EGO,1008.2531100895809
2B,KZN,LED,1216.8445674824823
2B,KZN,SVX,723.523203520023
2B,LED,KZN,1216.8445674824823
2B,LED,NBC,1372.8864143629523
2B,LED,UUA,1464.0569350725686
2B,MRV,ASF,448.1649087095456
2B,NBC,DME,892.3827877543464
2B,NBC,GYD,1685.426524371984
2B,NBC,LED,1372.8864143629523
2B,NBC,SVX,554.7033596624188
2B,NJC,SVX,1012.6027135761158
2B,NJC,UUA,1557.1718220176435
2B,NUX,SVX,1324.6117527543267
2B,OVB,CEK,1338.631466586207
2B,OVB,SVX,1370.2972586323822
2B,SVX,KZN,723.523203520023
2B,SVX,NBC,554.7033596624188
2B,SVX,NJC,1012.6027135761158
2B,SVX,NUX,1324.6117527543267
2B,SVX,OVB,1370.2972586323822
2B,TGK,DME,915.2891395770904
2B,UUA,DME,951.4321982829724
2B,UUA,LED,1464.0569350725686
2B,UUA,NJC,1557.1718220176435
2G,BTK,IKT,488.33962159397583
2G,BTK,IKT,488.33962159397583
2G,BTK,OVB,1199.359155920031
2G,BTK,OVB,1199.359155920031
2G,CEK,OVB,1338.631466586207
2G,CEK,OVB,1338.631466586207
2G,HTA,IKT,608.64306102642
2G,HTA,IKT,608.64306102642
2G,IKT,BTK,488.33962159397583
2G,IKT,BTK,488.33962159397583
2G,IKT,HTA,608.64306102642
2G,IKT,HTA,608.64306102642
2G,IKT,KCK,655.1854494872141
2G,IKT,KCK,655.1854494872141
2G,IKT,ODO,882.1865409507246
2G,IKT,ODO,882.1865409507246
2G,IKT,OVB,1458.8243099590643
2G,IKT,OVB,1458.8243099590643
2G,IKT,UKX,517.4862726798776
2G,IKT,UKX,517.4862726798776
2G,IKT,ULK,1134.5379651044466
2G,IKT,ULK,1134.5379651044466
2G,IKT,YKS,1860.015151572239
2G,IKT,YKS,1860.015151572239
2G,KCK,IKT,655.1854494872141
2G,KCK,IKT,655.1854494872141
2G,MJZ,OVB,1967.4878944895415
2G,MJZ,OVB,1967.4878944895415
2G,ODO,IKT,882.1865409507246
2G,ODO,IKT,882.1865409507246
2G,OVB,BTK,1199.359155920031
2G,OVB,BTK,1199.359155920031
2G,OVB,CEK,1338.631466586207
2G,OVB,CEK,1338.631466586207
2G,OVB,IKT,1458.8243099590643
2G,OVB,IKT,1458.8243099590643
2G,UKX,IKT,517.4862726798776
2G,UKX,IKT,517.4862726798776
2G,ULK,IKT,1134.5379651044466
2G,ULK,IKT,1134.5379651044466
2G,YKS,IKT,1860.015151572239
2G,YKS,IKT,1860.015151572239
2I,AYP,LIM,339.9806104707811
2I,CUZ,LIM,585.9080251433812
2I,CUZ,PEM,310.9345705025523
2I,HUU,LIM,258.1561031529866
2I,IQT,PCL,529.5509843237757
2I,IQT,TPP,454.8584413962523
2I,LIM,AYP,339.9806104707811
2I,LIM,CUZ,585.9080251433812
2I,LIM,HUU,258.1561031529866
2I,LIM,PCL,491.3431736689255
2I,LIM,TPP,618.4026366573572
