Airline IATA,Source airport IATA,Destination airport IATA,Stops,Airline Name,Active
2B,AER,KZN,0,Aerocondor,Y
2B,ASF,KZN,0,Aerocondor,Y
2B,ASF,MRV,0,Aerocondor,Y
2B,CEK,KZN,0,Aerocondor,Y
2B,CEK,OVB,0,Aerocondor,Y
2B,DME,KZN,0,Aerocondor,Y
2B,DME,NBC,0,Aerocondor,Y
2B,DME,TGK,0,Aerocondor,Y
2B,DME,UUA,0,Aerocondor,Y
2B,EGO,KGD,0,Aerocondor,Y
2B,EGO,KZN,0,Aerocondor,Y
2B,GYD,NBC,0,Aerocondor,Y
2B,KGD,EGO,0,Aerocondor,Y
2B,KZN,AER,0,Aerocondor,Y
2B,KZN,ASF,0,Aerocondor,Y
2B,KZN,CEK,0,Aerocondor,Y
2B,KZN,DME,0,Aerocondor,Y
2B,KZN,EGO,0,Aerocondor,Y
2B,KZN,LED,0,Aerocondor,Y
2B,KZN,SVX,0,Aerocondor,Y
2B,LED,KZN,0,Aerocondor,Y
2B,LED,NBC,0,Aerocondor,Y
2B,LED,UUA,0,Aerocondor,Y
2B,MRV,ASF,0,Aerocondor,Y
2B,NBC,DME,0,Aerocondor,Y
2B,NBC,GYD,0,Aerocondor,Y
2B,NBC,LED,0,Aerocondor,Y
2B,NBC,SVX,0,Aerocondor,Y
2B,NJC,SVX,0,Aerocondor,Y
2B,NJC,UUA,0,Aerocondor,Y
2B,NUX,SVX,0,Aerocondor,Y
2B,OVB,CEK,0,Aerocondor,Y
2B,OVB,SVX,0,Aerocondor,Y
2B,SVX,KZN,0,Aerocondor,Y
2B,SVX,NBC,0,Aerocondor,Y
2B,SVX,NJC,0,Aerocondor,Y
2B,SVX,NUX,0,Aerocondor,Y
2B,SVX,OVB,0,Aerocondor,Y
2B,TGK,DME,0,Aerocondor,Y
2B,UUA,DME,0,Aerocondor,Y
2B,UUA,LED,0,Aerocondor,Y
2B,UUA,NJC,0,Aerocondor,Y
2G,BTK,IKT,0,Cargoitalia,N
2G,BTK,IKT,0,San Juan Airlines,N
2G,BTK,OVB,0,Cargoitalia,N
2G,BTK,OVB,0,San Juan Airlines,N
2G,CEK,OVB,0,Cargoitalia,N
2G,CEK,OVB,0,San Juan Airlines,N
2G,HTA,IKT,0,Cargoitalia,N
2G,HTA,IKT,0,San Juan Airlines,N
2G,IKT,BTK,0,Cargoitalia,N
2G,IKT,BTK,0,San Juan Airlines,N
2G,IKT,HTA,0,Cargoitalia,N
2G,IKT,HTA,0,San Juan Airlines,N
2G,IKT,KCK,0,Cargoitalia,N
2G,IKT,KCK,0,San Juan Airlines,N
2G,IKT,ODO,0,Cargoitalia,N
2G,IKT,ODO,0,San Juan Airlines,N
2G,IKT,OVB,0,Cargoitalia,N
2G,IKT,OVB,0,San Juan Airlines,N
2G,IKT,UKX,0,Cargoitalia,N
2G,IKT,UKX,0,San Juan Airlines,N
2G,IKT,ULK,0,Cargoitalia,N
2G,IKT,ULK,0,San Juan Airlines,N
2G,IKT,YKS,0,Cargoitalia,N
2G,IKT,YKS,0,San Juan Airlines,N
2G,KCK,IKT,0,Cargoitalia,N
2G,KCK,IKT,0,San Juan Airlines,N
2G,MJZ,OVB,0,Cargoitalia,N
2G,MJZ,OVB,0,San Juan Airlines,N
2G,ODO,IKT,0,Cargoitalia,N
2G,ODO,IKT,0,San Juan Airlines,N
2G,OVB,BTK,0,Cargoitalia,N
2G,OVB,BTK,0,San Juan Airlines,N
2G,OVB,CEK,0,Cargoitalia,N
2G,OVB,CEK,0,San Juan Airlines,N
2G,OVB,IKT,0,Cargoitalia,N
2G,OVB,IKT,0,San Juan Airlines,N
2G,UKX,IKT,0,Cargoitalia,N
2G,UKX,IKT,0,San Juan Airlines,N
2G,ULK,IKT,0,Cargoitalia,N
2G,ULK,IKT,0,San Juan Airlines,N
2G,YKS,IKT,0,Cargoitalia,N
2G,YKS,IKT,0,San Juan Airlines,N
2I,AYP,LIM,0,Star Peru (2I),Y
2I,CUZ,LIM,0,Star Peru (2I),Y
2I,CUZ,PEM,0,Star Peru (2I),Y
2I,HUU,LIM,0,Star Peru (2I),Y
2I,IQT,PCL,0,Star Peru (2I),Y
2I,IQT,TPP,0,Star Peru (2I),Y
2I,LIM,AYP,0,Star Peru (2I),Y
2I,LIM,CUZ,0,Star Peru (2I),Y
2I,LIM,HUU,0,Star Peru (2I),Y
2I,LIM,PCL,0,Star Peru (2I),Y
2I,LIM,TPP,0,Star Peru (2I),Y
2I,PCL,IQT,0,Star Peru (2I),Y
2I,PCL,LIM,0,Star Peru (2I),Y
2I,PCL,TPP,0,Star Peru (2I),Y
2I,PEM,CUZ,0,Star Peru (2I),Y
2I,TPP,IQT,0,Star Peru (2I),Y
2I,TPP,LIM,0,Star Peru (2I),Y
2I,TPP,PCL,0,Star Peru (2I),Y
2J,ABJ,BOY,0,Air Burkina,Y
2J,ABJ,OUA,0,Air Burkina,Y
2J,ACC,OUA,0,Air Burkina,Y
2J,BKO,ABJ,0,Air Burkina,Y
2J,BKO,DKR,0,Air Burkina,Y
2J,BKO,OUA,0,Air Burkina,Y
2J,BOY,ABJ,0,Air Burkina,Y
2J,BOY,OUA,0,Air Burkina,Y
2J,COO,LFW,0,Air Burkina,Y
2J,COO,OUA,0,Air Burkina,Y
2J,DKR,BKO,0,Air Burkina,Y
2J,DKR,OUA,0,Air Burkina,Y
2J,LFW,OUA,0,Air Burkina,Y
2J,NIM,OUA,0,Air Burkina,Y
2J,OUA,ABJ,0,Air Burkina,Y
2J,OUA,ACC,0,Air Burkina,Y
2J,OUA,BKO,0,Air Burkina,Y
2J,OUA,BOY,0,Air Burkina,Y
2J,OUA,COO,0,Air Burkina,Y
