Airline IATA,Source airport IATA,Destination airport IATA,Distance
4B,LAS,LAX,379.9942734236406
4B,LAX,LAS,379.9942734236406
9E,ATL,CVG,602.1803007933797
9E,ATL,MSP,1459.7181270186938
9E,CVG,ATL,602.1803007933797
9E,DTW,MSY,1492.2718862170018
9E,JFK,MSY,1901.4897105100436
9E,MSP,ATL,1459.7181270186938
9E,MSP,MSY,1675.7693401753959
9E,MSY,DTW,1492.2718862170018
9E,MSY,JFK,1901.4897105100436
9E,MSY,MSP,1675.7693401753959
AA,ANC,LAX,3770.8093237260714
AA,ANC,PHX,4101.428608962121
AA,ATL,CLT,364.56708046970965
AA,ATL,DFW,1174.5318236036762
AA,ATL,ORD,976.3278291656198
AA,ATL,PHL,1071.592953109364
AA,ATL,PHX,2549.081233958843
AA,BDL,CLT,1035.6947956825866
AA,BDL,DFW,2363.184544991586
AA,BDL,LAX,4057.3313327474443
AA,BDL,ORD,1256.9832454841692
AA,BDL,PHL,314.6703367887143
AA,BNA,CLT,527.7906363483784
AA,BNA,DFW,1014.1483125518824
AA,BNA,JFK,1229.76124690041
AA,BNA,LAX,2886.3192287624256
AA,BNA,ORD,659.4850707493616
AA,BNA,PHL,1084.3003930553236
AA,BOI,PHX,1184.0866678040393
AA,BOS,CLT,1170.6751257417918
AA,BOS,DFW,2509.268905512098
AA,BOS,JFK,300.1779770895026
AA,BOS,LAX,4193.02908746007
AA,BOS,ORD,1391.078325285235
AA,BOS,PDX,4072.319804493596
AA,BOS,PHL,450.1419758792534
AA,BOS,PHX,3693.7754228607205
AA,BOS,SEA,4005.5088356419633
AA,BWI,CLT,580.7082466113521
AA,BWI,DFW,1954.7685504854694
AA,BWI,JFK,295.3609443349576
AA,BWI,ORD,997.9705182564419
AA,BWI,PHL,144.85222737502477
AA,BWI,PHX,3209.737057716284
AA,CHS,CLT,270.5509331637968
AA,CHS,DFW,1585.226379270477
AA,CHS,PHL,886.1042894797829
AA,CLE,CLT,693.6656666196295
AA,CLE,DFW,1641.733108732936
AA,CLE,JFK,682.2070027191422
AA,CLE,ORD,506.5652697563044
AA,CLE,PHL,583.1229272295406
AA,CLT,ATL,364.56708046970965
AA,CLT,BDL,1035.6947956825866
AA,CLT,BNA,527.7906363483784
AA,CLT,BOS,1170.6751257417918
AA,CLT,BWI,580.7082466113521
AA,CLT,CHS,270.5509331637968
AA,CLT,CLE,693.6656666196295
AA,CLT,CVG,539.1946917771504
AA,CLT,DEN,2148.202090678053
AA,CLT,DFW,1503.2069279565508
AA,CLT,DTW,805.6961397417941
AA,CLT,EWR,850.2863949538682
AA,CLT,IAD,517.371064721726
AA,CLT,IND,688.060502220261
AA,CLT,JFK,870.5292109233397
AA,CLT,LAS,3076.587695800183
AA,CLT,LAX,3412.5341856716655
AA,CLT,MCO,755.2029149067863
AA,CLT,MKE,1047.7823784721302
AA,CLT,MSP,1496.0732153972012
AA,CLT,MSY,1047.2193499352472
AA,CLT,OMA,1467.7316602972016
AA,CLT,ORD,964.5786715815266
AA,CLT,PDX,3664.493683355979
AA,CLT,PHL,721.4732221544514
AA,CLT,PHX,2848.382720575684
AA,CLT,RDU,208.51191829077544
AA,CLT,SEA,3660.405629332313
AA,CLT,SLC,2773.5940144543915
AA,CLT,STL,924.3745727556258
AA,CVG,CLT,539.1946917771504
AA,CVG,DFW,1304.7619647657154
AA,CVG,JFK,945.6585044128641
AA,CVG,ORD,425.3843061709205
AA,CVG,PHL,814.0504907798611
AA,DEN,CLT,2148.202090678053
AA,DEN,DFW,1032.0980058772263
AA,DEN,LAX,1385.139203807797
AA,DEN,ORD,1426.0220157520105
AA,DEN,PHL,2500.3905990396725
AA,DEN,PHX,968.5377565127925
AA,DEN,SEA,1645.0658311574032
AA,DFW,ATL,1174.5318236036762
AA,DFW,BDL,2363.184544991586
AA,DFW,BNA,1014.1483125518824
AA,DFW,BOS,2509.268905512098
AA,DFW,BWI,1954.7685504854694
AA,DFW,CHS,1585.226379270477
AA,DFW,CLE,1641.733108732936
AA,DFW,CLT,1503.2069279565508
AA,DFW,CVG,1304.7619647657154
AA,DFW,DEN,1032.0980058772263
AA,DFW,DTW,1586.4188216950533
AA,DFW,EWR,2204.7901406770784
AA,DFW,HNL,6080.920427053171
AA,DFW,IAD,1882.477930817527
AA,DFW,IND,1223.9890393722342
AA,DFW,JFK,2234.8961320494536
AA,DFW,LAS,1694.7999229712295
AA,DFW,LAX,1983.1744750180885
AA,DFW,MCO,1582.4157318228752
AA,DFW,MKE,1373.5748328148597
AA,DFW,MSP,1372.5779149181371
AA,DFW,MSY,719.4399852682247
AA,DFW,OKC,282.3630290991225
AA,DFW,OMA,940.2113048334137
AA,DFW,ORD,1290.6453049606575
AA,DFW,PDX,2597.0509238361133
AA,DFW,PHL,2092.8766575973477
AA,DFW,PHX,1393.8656724588768
AA,DFW,RDU,1704.5189033287804
AA,DFW,SEA,2668.1529866142673
AA,DFW,SLC,1589.4643663084744
AA,DFW,STL,885.3782369662816
AA,DTW,CLT,805.6961397417941
AA,DTW,DFW,1586.4188216950533
AA,DTW,ORD,376.3886323781449
AA,DTW,PHL,728.0522353255226
AA,DTW,PHX,2683.9796496758554
AA,EWR,CLT,850.2863949538682
AA,EWR,DFW,2204.7901406770784
AA,EWR,ORD,1154.4536331215895
AA,EWR,PHL,128.84356361715245
AA,EWR,PHX,3425.3668935853048
AA,EWR,SEA,3854.814176826073
AA,HNL,DFW,6080.920427053171
AA,HNL,LAX,4108.224323399248
AA,HNL,PHX,4688.528565864707
AA,IAD,CLT,517.371064721726
AA,IAD,DFW,1882.477930817527
AA,IAD,LAX,3674.03017724721
AA,IND,CLT,688.060502220261
AA,IND,DFW,1223.9890393722342
AA,IND,JFK,1067.3034122661404
AA,IND,LAX,2912.8778685305833
AA,IND,ORD,285.5951889162557
AA,IND,PHL,943.9041916961392
AA,IND,PHX,2390.864071114592
AA,JFK,BNA,1229.76124690041
AA,JFK,BOS,300.1779770895026
AA,JFK,BWI,295.3609443349576
AA,JFK,CLE,682.2070027191422
AA,JFK,CLT,870.5292109233397
AA,JFK,CVG,945.6585044128641
AA,JFK,DFW,2234.8961320494536
AA,JFK,IND,1067.3034122661404
AA,JFK,LAS,3609.2825234219504
AA,JFK,LAX,3974.1967108791923
AA,JFK,MCO,1521.3886141530443
AA,JFK,ORD,1187.8355870120465
AA,JFK,PHX,3458.11906367387
AA,JFK,RDU,686.50304121785
AA,JFK,SEA,3886.6379044866676
AA,LAS,CLT,3076.587695800183
AA,LAS,DFW,1694.7999229712295
AA,LAS,JFK,3609.2825234219504
AA,LAS,LAX,379.9942734236406
AA,LAS,ORD,2431.6928481174373
AA,LAS,PHL,3494.414109617585
AA,LAS,PHX,410.8486569165901
AA,LAX,ANC,3770.8093237260714
AA,LAX,BDL,4057.3313327474443
AA,LAX,BNA,2886.3192287624256
AA,LAX,BOS,4193.02908746007
AA,LAX,CLT,3412.5341856716655
AA,LAX,DEN,1385.139203807797
AA,LAX,DFW,1983.1744750180885
AA,LAX,HNL,4108.224323399248
AA,LAX,IAD,3674.03017724721
AA,LAX,IND,2912.8778685305833
AA,LAX,JFK,3974.1967108791923
AA,LAX,LAS,379.9942734236406
